Timestamp,forward_vel_cmd,steering_vel_cmd,power_mW,current_mA,busVoltage_V,shuntVoltage_mV,energy,charge,dieTemp,Left_Stick_X,Left_Stick_Y,Right_Stick_X,Right_Stick_Y,Button_0,Button_1,Button_2,Button_3,Button_4,Button_5,Button_6,Button_7,Button_8,Button_9,Button_10,Button_11,Button_12,Button_13,Button_14,Button_15,mocap_velocity,mocap_x,mocap_y,mocap_z,mocap_heading,forward_vel_cmd,steering_vel_cmd,left_wheel_vel,right_wheel_vel,nn_v_left,nn_v_right,nn_v_linear,nn_v_angular,ppo_control_active,heading_error_rad,current_heading_rad,distance_to_target,relative_x,relative_y,target_relative_x,target_relative_y,current_waypoint_idx
2025-12-12 14:05:16.646082,0.2,0.2,6864.3,573.2,12.0,8.6,668.5,55.7,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.332201212644577,2.820098638534546,0.7046864628791809,-0.9348285663418884,0.2,0.2,-0.04307382702827445,1.0,-0.04307382702827445,1.0069261729717254,0.48192617297172546,3.0,1.0,1.5908091848686778,-0.9348285663418884,3.57398008593002,-0.027972906827926636,0.03272366523742676,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:16.677597,0.2,0.2,6603.8,551.4,12.0,8.3,668.9,55.7,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.331722617149353,2.820018768310547,0.7054152488708496,-0.9334261789115122,0.2,0.2,-0.040098661184310824,1.0,-0.040098661184310824,1.009901338815689,0.4849013388156891,3.0,1.0,1.5895061933337136,-0.9334261789115122,3.573649556265058,-0.027494311332702637,0.032643795013427734,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:16.708784,0.2,0.2,6894.8,575.8,12.0,8.6,669.3,55.8,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.331722617149353,2.820018768310547,0.7054152488708496,-0.9334261789115122,0.2,0.2,-0.03739109039306632,1.0,-0.03739109039306632,1.0126089096069335,0.4876089096069336,3.0,1.0,1.5895061933337136,-0.9334261789115122,3.573649556265058,-0.027494311332702637,0.032643795013427734,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:16.739918,0.2,0.2,6850.7,572.0,12.0,8.6,669.7,55.8,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.331722617149353,2.820018768310547,0.7054152488708496,-0.9334261789115122,0.2,0.2,-0.03445582985877982,1.0,-0.03445582985877982,1.01554417014122,0.4905441701412201,3.0,1.0,1.5895061933337136,-0.9334261789115122,3.573649556265058,-0.027494311332702637,0.032643795013427734,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:16.771116,0.2,0.2,6894.9,575.8,12.0,8.6,670.1,55.8,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.331722617149353,2.820018768310547,0.7054152488708496,-0.9334261789115122,0.2,0.2,-0.03291069865226737,1.0,-0.03291069865226737,1.0170893013477325,0.49208930134773254,3.0,1.0,1.5895061933337136,-0.9334261789115122,3.573649556265058,-0.027494311332702637,0.032643795013427734,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:16.802289,0.2,0.2,6982.5,583.1,12.0,8.7,670.5,55.9,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.33174633979797363,2.8198606967926025,0.7049471139907837,-0.9349440697824889,0.2,0.2,-0.03156673312187186,1.0,-0.03156673312187186,1.018433266878128,0.49343326687812805,3.0,1.0,1.5910550831784183,-0.9349440697824889,3.5737647816201976,-0.027518033981323242,0.0324857234954834,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:16.833228,0.2,0.2,7005.1,585.0,12.0,8.8,670.9,55.9,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.33174633979797363,2.8198606967926025,0.7049471139907837,-0.9349440697824889,0.2,0.2,-0.0301405429840087,1.0,-0.0301405429840087,1.0198594570159911,0.4948594570159912,3.0,1.0,1.5910550831784183,-0.9349440697824889,3.5737647816201976,-0.027518033981323242,0.0324857234954834,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:16.893922,0.2,0.2,7177.7,599.5,12.0,9.0,671.3,56.0,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.3317335247993469,2.8200085163116455,0.7054185271263123,-0.9334067907192973,0.2,0.2,-0.0288493573665618,1.0,-0.0288493573665618,1.021150642633438,0.4961506426334381,3.0,1.0,1.5894872164119445,-0.9334067907192974,3.5736644532505126,-0.027505218982696533,0.03263354301452637,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:17.095392,0.2,0.2,7136.4,596.0,12.0,8.9,671.7,56.0,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.33221256732940674,2.820068597793579,0.7051312923431396,-0.9402357065777196,0.2,0.2,-0.027832770347595126,1.0,-0.027832770347595126,1.0221672296524047,0.4971672296524048,3.0,1.0,1.5962210481369237,-0.9402357065777196,3.574007406940322,-0.027984261512756348,0.03269362449645996,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:17.126697,0.2,0.2,7168.5,598.7,12.0,9.0,672.2,56.0,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.33221256732940674,2.820068597793579,0.7051312923431396,-0.9402357065777196,0.2,0.2,-0.027768784761428744,1.0,-0.027768784761428744,1.022231215238571,0.49723121523857117,3.0,1.0,1.5962210481369237,-0.9402357065777196,3.574007406940322,-0.027984261512756348,0.03269362449645996,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:17.158029,0.2,0.2,7193.9,600.8,12.0,9.0,672.6,56.1,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.33221256732940674,2.820068597793579,0.7051312923431396,-0.9402357065777196,0.2,0.2,-0.028387421369552523,1.0,-0.028387421369552523,1.0216125786304473,0.4966125786304474,3.0,1.0,1.5962210481369237,-0.9402357065777196,3.574007406940322,-0.027984261512756348,0.03269362449645996,2.8042283058166504,2.212625026702881,0
2025-12-12 14:05:17.189203,0.2,0.2,7007.0,585.2,12.0,8.8,673.0,56.1,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.33150801062583923,2.8199849128723145,0.7054826021194458,-0.9357035661112327,0.2,0.2,-0.02851911783218375,1.0,-0.02851911783218375,1.021480882167816,0.49648088216781616,3.0,1.0,1.5918277221232837,-0.9357035661112327,3.5735001601150977,-0.027279704809188843,0.03260993957519531,2.8042283058166504,2.212625026702881,0
