Timestamp,forward_vel_cmd,steering_vel_cmd,power_mW,current_mA,busVoltage_V,shuntVoltage_mV,energy,charge,dieTemp,Left_Stick_X,Left_Stick_Y,Right_Stick_X,Right_Stick_Y,Button_0,Button_1,Button_2,Button_3,Button_4,Button_5,Button_6,Button_7,Button_8,Button_9,Button_10,Button_11,Button_12,Button_13,Button_14,Button_15,mocap_velocity,mocap_x,mocap_y,mocap_z,mocap_heading,forward_vel_cmd,steering_vel_cmd,left_wheel_vel,right_wheel_vel,nn_v_left,nn_v_right,nn_v_linear,nn_v_angular,ppo_control_active,heading_error_rad,current_heading_rad,distance_to_target,relative_x,relative_y,target_relative_x,target_relative_y,current_waypoint_idx
2025-12-12 14:03:55.991556,0.2,0.2,6773.1,564.1,12.0,8.5,174.8,14.5,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.32411184906959534,2.851788282394409,0.7043322920799255,-1.5705707741432664,0.2,0.2,-0.439722055196762,0.6102779448032378,-0.439722055196762,0.6102779448032378,0.08527794480323792,3.0,1.0,2.220864561421131,-1.5705707741432664,3.548298369601019,-0.019883543252944946,0.06441330909729004,2.8042283058166504,2.212625026702881,0
2025-12-12 14:03:56.022311,0.2,0.2,6682.7,576.6,12.0,8.3,175.2,14.6,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.32410526275634766,2.8517487049102783,0.704325795173645,-1.570346937725829,0.2,0.2,-0.4399644523859023,0.6100355476140975,-0.4399644523859023,0.6100355476140975,0.0850355476140976,3.0,1.0,2.2206507262077597,-1.570346937725829,3.5483170887031457,-0.019876956939697266,0.06437373161315918,2.8042283058166504,2.212625026702881,0
2025-12-12 14:03:56.053402,0.2,0.2,6885.4,573.5,12.0,8.6,175.6,14.6,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.32410526275634766,2.8517487049102783,0.704325795173645,-1.570346937725829,0.2,0.2,-0.4400446131825446,0.6099553868174552,-0.4400446131825446,0.6099553868174552,0.08495538681745529,3.0,1.0,2.2206507262077597,-1.570346937725829,3.5483170887031457,-0.019876956939697266,0.06437373161315918,2.8042283058166504,2.212625026702881,0
2025-12-12 14:03:56.083962,0.2,0.2,6731.4,560.6,12.0,8.4,176.0,14.6,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.32410526275634766,2.8517487049102783,0.704325795173645,-1.570346937725829,0.2,0.2,-0.440134698152542,0.6098653018474578,-0.440134698152542,0.6098653018474578,0.08486530184745789,3.0,1.0,2.2206507262077597,-1.570346937725829,3.5483170887031457,-0.019876956939697266,0.06437373161315918,2.8042283058166504,2.212625026702881,0
2025-12-12 14:03:56.234640,0.2,0.2,6640.6,553.1,12.0,8.3,176.4,14.7,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.32407036423683167,2.8517937660217285,0.7043717503547668,-1.570574069215107,0.2,0.2,-0.440197193622589,0.6098028063774108,-0.440197193622589,0.6098028063774108,0.08480280637741089,3.0,1.0,2.2208737047945615,-1.570574069215107,3.5482620317366442,-0.019842058420181274,0.06441879272460938,2.8042283058166504,2.212625026702881,0
2025-12-12 14:03:56.295238,0.2,0.2,6645.3,553.4,12.0,8.3,176.8,14.7,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.32407036423683167,2.8517937660217285,0.7043717503547668,-1.570574069215107,0.2,0.2,-0.44017560929059973,0.6098243907094001,-0.44017560929059973,0.6098243907094001,0.08482439070940018,3.0,1.0,2.2208737047945615,-1.570574069215107,3.5482620317366442,-0.019842058420181274,0.06441879272460938,2.8042283058166504,2.212625026702881,0
2025-12-12 14:03:56.326585,0.2,0.2,6522.1,543.1,12.0,8.1,177.2,14.7,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.3239697515964508,2.8517298698425293,0.7038403153419495,-1.5711721922259443,0.2,0.2,-0.4401064530014991,0.6098935469985007,-0.4401064530014991,0.6098935469985007,0.08489354699850082,3.0,1.0,2.221503327685084,-1.5711721922259443,3.5482206399910527,-0.019741445779800415,0.06435489654541016,2.8042283058166504,2.212625026702881,0
2025-12-12 14:03:56.357728,0.2,0.2,6879.8,572.9,12.0,8.6,177.6,14.8,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.3239697515964508,2.8517298698425293,0.7038403153419495,-1.5711721922259443,0.2,0.2,-0.4400132089853286,0.6099867910146712,-0.4400132089853286,0.6099867910146712,0.08498679101467133,3.0,1.0,2.221503327685084,-1.5711721922259443,3.5482206399910527,-0.019741445779800415,0.06435489654541016,2.8042283058166504,2.212625026702881,0
2025-12-12 14:03:56.388036,0.2,0.2,6399.0,532.9,12.0,8.0,178.0,14.8,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.3239697515964508,2.8517298698425293,0.7038403153419495,-1.5711721922259443,0.2,0.2,-0.4399500057101249,0.6100499942898749,-0.4399500057101249,0.6100499942898749,0.08504999428987503,3.0,1.0,2.221503327685084,-1.5711721922259443,3.5482206399910527,-0.019741445779800415,0.06435489654541016,2.8042283058166504,2.212625026702881,0
2025-12-12 14:03:56.418965,0.2,0.2,6587.2,548.6,12.0,8.2,178.4,14.8,24.1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.3232717216014862,2.852414131164551,0.7038595676422119,-1.581637609194413,0.2,0.2,-0.44036305844783774,0.6096369415521621,-0.44036305844783774,0.6096369415521621,0.08463694155216217,3.0,1.0,2.231934360293708,-1.581637609194413,3.5472508056262853,-0.019043415784835815,0.06503915786743164,2.8042283058166504,2.212625026702881,0
