timestamp                  ,x                  ,y                   ,z                  ,q_x                     ,q_y                     ,q_z                    ,q_w                    ,raw_message
2025-12-08 16:10:18.025949 ,0.6990986466407776 ,0.2972681522369385  ,0.6201385259628296 ,0.045303117483854294    ,0.01860145293176174     ,0.26922592520713806    ,-0.9618310928344727    ,"1765206616.582884,0.6990986466407776,0.2972681522369385,0.6201385259628296,0.045303117483854294,0.01860145293176174,0.26922592520713806,-0.9618310928344727"
2025-12-08 16:10:18.025980 ,0.699099600315094  ,0.29726263880729675 ,0.6201237440109253 ,0.04535656049847603     ,0.018447119742631912    ,0.26919808983802795    ,-0.9618393778800964    ,"1765206616.586955,0.699099600315094,0.29726263880729675,0.6201237440109253,0.04535656049847603,0.018447119742631912,0.26919808983802795,-0.9618393778800964"
2025-12-08 16:10:18.025997 ,0.6991299986839294 ,0.2972537577152252  ,0.6198980212211609 ,0.04507208615541458     ,0.016900308430194855    ,0.26925238966941833    ,-0.9618659019470215    ,"1765206616.591412,0.6991299986839294,0.2972537577152252,0.6198980212211609,0.04507208615541458,0.016900308430194855,0.26925238966941833,-0.9618659019470215"
2025-12-08 16:10:18.026031 ,0.6991445422172546 ,0.2972146272659302  ,0.6200793385505676 ,0.045350082218647       ,0.018169311806559563    ,0.26905083656311035    ,-0.9618861079216003    ,"1765206616.5954294,0.6991445422172546,0.2972146272659302,0.6200793385505676,0.045350082218647,0.018169311806559563,0.26905083656311035,-0.9618861079216003"
2025-12-08 16:10:18.026043 ,0.6991217136383057 ,0.2972131371498108  ,0.6201114654541016 ,0.04532069340348244     ,0.018482450395822525    ,0.26911988854408264    ,-0.9618622064590454    ,"1765206616.5995717,0.6991217136383057,0.2972131371498108,0.6201114654541016,0.04532069340348244,0.018482450395822525,0.26911988854408264,-0.9618622064590454"
2025-12-08 16:10:18.026052 ,0.6991171836853027 ,0.297238826751709   ,0.6200814247131348 ,0.04507485032081604     ,0.01815534010529518     ,0.2690421938896179     ,-0.9619017839431763    ,"1765206616.604343,0.6991171836853027,0.297238826751709,0.6200814247131348,0.04507485032081604,0.01815534010529518,0.2690421938896179,-0.9619017839431763"
2025-12-08 16:10:18.026087 ,0.6990995407104492 ,0.2972738742828369  ,0.6200899481773376 ,0.04490920156240463     ,0.018005644902586937    ,0.2690727114677429     ,-0.9619037508964539    ,"1765206616.6077108,0.6990995407104492,0.2972738742828369,0.6200899481773376,0.04490920156240463,0.018005644902586937,0.2690727114677429,-0.9619037508964539"
2025-12-08 16:10:18.026098 ,0.6991023421287537 ,0.29728585481643677 ,0.6199154853820801 ,0.04455086216330528     ,0.016885174438357353    ,0.2693708539009094     ,-0.9618573188781738    ,"1765206616.6119936,0.6991023421287537,0.29728585481643677,0.6199154853820801,0.04455086216330528,0.016885174438357353,0.2693708539009094,-0.9618573188781738"
2025-12-08 16:10:18.026109 ,0.6991299986839294 ,0.2972384989261627  ,0.6199218034744263 ,0.04482585936784744     ,0.01707383617758751     ,0.2690478563308716     ,-0.961931586265564     ,"1765206616.6159935,0.6991299986839294,0.2972384989261627,0.6199218034744263,0.04482585936784744,0.01707383617758751,0.2690478563308716,-0.961931586265564"
2025-12-08 16:10:18.026118 ,0.6991065740585327 ,0.29727622866630554 ,0.6200897693634033 ,0.044928666204214096    ,0.01804031990468502     ,0.2691723704338074     ,-0.9618743062019348    ,"1765206616.620725,0.6991065740585327,0.29727622866630554,0.6200897693634033,0.044928666204214096,0.01804031990468502,0.2691723704338074,-0.9618743062019348"
2025-12-08 16:10:18.026127 ,0.6991246342658997 ,0.2972203195095062  ,0.6201277375221252 ,0.04525353014469147     ,0.018546530976891518    ,0.2689671516418457     ,-0.9619068503379822    ,"1765206616.624718,0.6991246342658997,0.2972203195095062,0.6201277375221252,0.04525353014469147,0.018546530976891518,0.2689671516418457,-0.9619068503379822"
2025-12-08 16:10:18.026134 ,0.6991389393806458 ,0.2972281575202942  ,0.6201232671737671 ,0.045278169214725494    ,0.018463777378201485    ,0.268846720457077      ,-0.9619409441947937    ,"1765206616.6288495,0.6991389393806458,0.2972281575202942,0.6201232671737671,0.045278169214725494,0.018463777378201485,0.268846720457077,-0.9619409441947937"
2025-12-08 16:10:18.026142 ,0.6991221308708191 ,0.2972218692302704  ,0.620111346244812  ,0.04538934677839279     ,0.01833360083401203     ,0.2691681385040283     ,-0.9618483185768127    ,"1765206616.6327887,0.6991221308708191,0.2972218692302704,0.620111346244812,0.04538934677839279,0.01833360083401203,0.2691681385040283,-0.9618483185768127"
2025-12-08 16:10:18.026150 ,0.699101984500885  ,0.2972750961780548  ,0.6198939681053162 ,0.044844333082437515    ,0.016779646277427673    ,0.2694159746170044     ,-0.9618328213691711    ,"1765206616.636916,0.699101984500885,0.2972750961780548,0.6198939681053162,0.044844333082437515,0.016779646277427673,0.2694159746170044,-0.9618328213691711"
2025-12-08 16:10:18.026158 ,0.6990852952003479 ,0.2972440719604492  ,0.6200952529907227 ,0.04520915076136589     ,0.01813960261642933     ,0.2692889869213104     ,-0.9618266820907593    ,"1765206616.6410403,0.6990852952003479,0.2972440719604492,0.6200952529907227,0.04520915076136589,0.01813960261642933,0.2692889869213104,-0.9618266820907593"
2025-12-08 16:10:18.026166 ,0.6991121172904968 ,0.297232985496521   ,0.6201114058494568 ,0.0453101210296154      ,0.01836431585252285     ,0.269174724817276      ,-0.9618496298789978    ,"1765206616.6451776,0.6991121172904968,0.297232985496521,0.6201114058494568,0.0453101210296154,0.01836431585252285,0.269174724817276,-0.9618496298789978"
