Timestamp,forward_vel_cmd,steering_vel_cmd,power_mW,current_mA,busVoltage_V,shuntVoltage_mV,energy,charge,dieTemp,Left_Stick_X,Left_Stick_Y,Right_Stick_X,Right_Stick_Y,Button_0,Button_1,Button_2,Button_3,Button_4,Button_5,Button_6,Button_7,Button_8,Button_9,Button_10,Button_11,Button_12,Button_13,Button_14,Button_15,mocap_velocity,mocap_x,mocap_y,mocap_z,mocap_roll,mocap_pitch,mocap_yaw_raw,forward_vel_cmd,steering_vel_cmd,left_wheel_vel,right_wheel_vel,ppo_control_active,heading_error_rad,current_heading_rad,distance_to_target,relative_x,relative_y,target_relative_x,target_relative_y,current_waypoint_idx
2025-12-05 17:53:08.938573,0.0,0.0,1023.4,84.8,12.1,1.3,6895.1,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21520587801933289,1.2021664381027222,0.7125747203826904,6.064446044329686,2.0843173244547932,4.242807160255735,0.0,0.0,0.0,0.0,0.0,3.0695759593465337,-2.0403781469238513,4.432135370643678,-0.00017499923706054688,-1.049041748046875e-05,2.2846191227436066,3.7978230714797974,0
2025-12-05 17:53:08.969909,0.0,0.0,1017.8,84.3,12.1,1.3,6895.2,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21520781517028809,1.2021476030349731,0.7125852108001709,6.049475473763702,2.0906132390658163,4.236896731432109,0.0,0.0,0.0,0.0,0.0,3.0754889534067953,-2.0462885757474774,4.432150511545375,-0.00017306208610534668,-2.9325485229492188e-05,2.2846191227436066,3.7978230714797974,0
2025-12-05 17:53:09.001104,0.0,0.0,1022.6,84.8,12.1,1.3,6895.3,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21520781517028809,1.2021476030349731,0.7125852108001709,6.049475473763702,2.0906132390658163,4.236896731432109,0.0,0.0,0.0,0.0,0.0,3.0754889534067953,-2.0462885757474774,4.432150511545375,-0.00017306208610534668,-2.9325485229492188e-05,2.2846191227436066,3.7978230714797974,0
2025-12-05 17:53:09.032137,0.0,0.0,1037.0,85.9,12.1,1.3,6895.3,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21520781517028809,1.2021476030349731,0.7125852108001709,6.049475473763702,2.0906132390658163,4.236896731432109,0.0,0.0,0.0,0.0,0.0,3.0754889534067953,-2.0462885757474774,4.432150511545375,-0.00017306208610534668,-2.9325485229492188e-05,2.2846191227436066,3.7978230714797974,0
2025-12-05 17:53:09.063926,0.0,0.0,1030.3,85.4,12.1,1.3,6895.4,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21536608040332794,1.202154517173767,0.7124917507171631,6.055991598952216,2.1030879897597816,4.219960505064163,0.0,0.0,0.0,0.0,0.0,3.0924549742884384,-2.0632248021154234,4.432063002484878,-1.4796853065490723e-05,-2.2411346435546875e-05,2.2846191227436066,3.7978230714797974,0
2025-12-05 17:53:09.095332,0.0,0.0,1015.7,84.2,12.1,1.3,6895.4,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21536608040332794,1.202154517173767,0.7124917507171631,6.055991598952216,2.1030879897597816,4.219960505064163,0.0,0.0,0.0,0.0,0.0,3.0924549742884384,-2.0632248021154234,4.432063002484878,-1.4796853065490723e-05,-2.2411346435546875e-05,2.2846191227436066,3.7978230714797974,0
2025-12-05 17:53:09.126718,0.0,0.0,1024.5,84.9,12.1,1.3,6895.5,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21536608040332794,1.202154517173767,0.7124917507171631,6.055991598952216,2.1030879897597816,4.219960505064163,0.0,0.0,0.0,0.0,0.0,3.0924549742884384,-2.0632248021154234,4.432063002484878,-1.4796853065490723e-05,-2.2411346435546875e-05,2.2846191227436066,3.7978230714797974,0
2025-12-05 17:53:09.158227,0.0,0.0,1027.0,85.1,12.1,1.3,6895.6,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21520397067070007,1.2021459341049194,0.7125961780548096,6.065258408622153,2.0861982053841572,4.237182697477094,0.0,0.0,0.0,0.0,0.0,3.0752024382018486,-2.046002609702493,4.432153923486269,-0.00017690658569335938,-3.0994415283203125e-05,2.2846191227436066,3.7978230714797974,0
2025-12-05 17:53:09.189441,0.0,0.0,1021.1,84.6,12.1,1.3,6895.6,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21520397067070007,1.2021459341049194,0.7125961780548096,6.065258408622153,2.0861982053841572,4.237182697477094,0.0,0.0,0.0,0.0,0.0,3.0752024382018486,-2.046002609702493,4.432153923486269,-0.00017690658569335938,-3.0994415283203125e-05,2.2846191227436066,3.7978230714797974,0
2025-12-05 17:53:09.220806,0.0,0.0,1027.0,85.0,12.1,1.3,6895.7,565.7,26.2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21520397067070007,1.2021459341049194,0.7125961780548096,6.065258408622153,2.0861982053841572,4.237182697477094,0.0,0.0,0.0,0.0,0.0,3.0752024382018486,-2.046002609702493,4.432153923486269,-0.00017690658569335938,-3.0994415283203125e-05,2.2846191227436066,3.7978230714797974,0
