Timestamp                  ,forward_vel_cmd ,steering_vel_cmd ,power_mW ,current_mA ,busVoltage_V ,shuntVoltage_mV ,energy ,charge ,dieTemp ,Left_Stick_X ,Left_Stick_Y ,Right_Stick_X ,Right_Stick_Y ,Button_0 ,Button_1 ,Button_2 ,Button_3 ,Button_4 ,Button_5 ,Button_6 ,Button_7 ,Button_8 ,Button_9 ,Button_10 ,Button_11 ,Button_12 ,Button_13 ,Button_14 ,Button_15 ,mocap_velocity ,mocap_x              ,mocap_y            ,forward_vel_cmd ,steering_vel_cmd ,left_wheel_vel ,right_wheel_vel      ,ppo_control_active ,heading_error_rad    ,distance_to_target ,relative_x              ,relative_y             ,target_relative_x  ,target_relative_y  ,current_waypoint_idx
2025-12-05 16:52:18.375680 ,            0.2 ,             0.2 , 16277.7 ,    1346.1 ,        12.2 ,           20.2 ,2331.3 , 190.2 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.2223149836063385  ,2.402837038040161  ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-1.6783818901537022  ,3.7624798100379997 ,-6.57886266708374e-05   ,2.4557113647460938e-05 ,2.7222491949796677 ,2.5971875190734863 ,                   0
2025-12-05 16:52:18.407294 ,            0.2 ,             0.2 , 16065.6 ,    1318.2 ,        12.2 ,           19.8 ,2332.3 , 190.2 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.2223149836063385  ,2.402837038040161  ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-1.6783818901537022  ,3.7624798100379997 ,-6.57886266708374e-05   ,2.4557113647460938e-05 ,2.7222491949796677 ,2.5971875190734863 ,                   0
2025-12-05 16:52:18.438687 ,            0.2 ,             0.2 , 16220.7 ,    1331.0 ,        12.2 ,           20.0 ,2333.1 , 190.3 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.2223149836063385  ,2.402837038040161  ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-1.6783818901537022  ,3.7624798100379997 ,-6.57886266708374e-05   ,2.4557113647460938e-05 ,2.7222491949796677 ,2.5971875190734863 ,                   0
2025-12-05 16:52:18.469721 ,            0.2 ,             0.2 , 15932.1 ,    1307.2 ,        12.2 ,           19.6 ,2334.1 , 190.4 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.2223149836063385  ,2.402837038040161  ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-1.6783818901537022  ,3.7624798100379997 ,-6.57886266708374e-05   ,2.4557113647460938e-05 ,2.7222491949796677 ,2.5971875190734863 ,                   0
2025-12-05 16:52:18.501649 ,            0.2 ,             0.2 , 15611.4 ,    1280.8 ,        12.2 ,           19.2 ,2335.0 , 190.5 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.2223149836063385  ,2.402837038040161  ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-1.6783818901537022  ,3.7624798100379997 ,-6.57886266708374e-05   ,2.4557113647460938e-05 ,2.7222491949796677 ,2.5971875190734863 ,                   0
2025-12-05 16:52:18.533594 ,            0.2 ,             0.2 , 15087.9 ,    1238.0 ,        12.2 ,           18.6 ,2335.9 , 190.5 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.2223149836063385  ,2.402837038040161  ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-1.6783818901537022  ,3.7624798100379997 ,-6.57886266708374e-05   ,2.4557113647460938e-05 ,2.7222491949796677 ,2.5971875190734863 ,                   0
2025-12-05 16:52:18.566785 ,            0.2 ,             0.2 , 16492.2 ,    1353.2 ,        12.2 ,           20.3 ,2336.9 , 190.6 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.2198709398508072  ,2.4017181396484375 ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-0.22947517018208607 ,3.7614846211671384 ,0.0023782551288604736   ,-0.0010943412780761719 ,2.7222491949796677 ,2.5971875190734863 ,                   0
2025-12-05 16:52:18.795690 ,            0.2 ,             0.2 , 15603.3 ,    1280.3 ,        12.2 ,           19.2 ,2337.8 , 190.7 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.22007179260253906 ,2.401798725128174  ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-0.21475678915348884 ,3.7615741946235186 ,0.002177402377128601    ,-0.0010137557983398438 ,2.7222491949796677 ,2.5971875190734863 ,                   0
2025-12-05 16:52:18.892717 ,            0.2 ,             0.2 , 16152.8 ,    1325.4 ,        12.2 ,           19.9 ,2338.7 , 190.8 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.2222958505153656  ,2.4028446674346924 ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-1.6631633701184552  ,3.762460700021409  ,-4.665553569793701e-05  ,3.218650817871094e-05  ,2.7222491949796677 ,2.5971875190734863 ,                   0
2025-12-05 16:52:18.923562 ,            0.2 ,             0.2 , 14341.0 ,    1176.3 ,        12.2 ,           17.6 ,2339.6 , 190.8 ,   25.5 ,        0.00 ,        0.00 ,         0.00 ,         0.00 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,       0 ,        0 ,        0 ,        0 ,        0 ,        0 ,        0 ,           0.0 ,-0.2222958505153656  ,2.4028446674346924 ,            0.2 ,             0.2 ,           1.0 ,-0.02499999999999991 ,               1.0 ,-1.6631633701184552  ,3.762460700021409  ,-4.665553569793701e-05  ,3.218650817871094e-05  ,2.7222491949796677 ,2.5971875190734863 ,                   0
