timestamp                  ,x                   ,y                  ,z                  ,roll               ,pitch              ,quaternion         ,raw_message
2025-12-05 17:52:48.488108 ,0.2153729647397995  ,1.2021989822387695 ,0.7124554514884949 ,6.073640709967539  ,2.0866189907250026 ,4.233418991883225  ,"1764953568.6281707,0.2153729647397995,1.2021989822387695,0.7124554514884949,6.073640709967539,2.0866189907250026,4.233418991883225"
2025-12-05 17:52:48.589555 ,0.2151833027601242  ,1.2021822929382324 ,0.7125639915466309 ,6.063994851049966  ,2.0799147635878077 ,4.24883601713722   ,"1764953568.632756,0.2151833027601242,1.2021822929382324,0.7125639915466309,6.063994851049966,2.0799147635878077,4.24883601713722"
2025-12-05 17:52:48.690900 ,0.21534457802772522 ,1.2021877765655518 ,0.7124616503715515 ,6.056879037775905  ,2.092495842592169  ,4.229797748183044  ,"1764953568.637024,0.21534457802772522,1.2021877765655518,0.7124616503715515,6.056879037775905,2.092495842592169,4.229797748183044"
2025-12-05 17:52:48.791637 ,0.2151802033185959  ,1.2021729946136475 ,0.7125676870346069 ,6.054553112439368  ,2.0827029815186107 ,4.247688309121029  ,"1764953568.6410108,0.2151802033185959,1.2021729946136475,0.7125676870346069,6.054553112439368,2.0827029815186107,4.247688309121029"
2025-12-05 17:52:48.896828 ,0.21537744998931885 ,1.2021701335906982 ,0.7124727368354797 ,6.0564070169938    ,2.0964590752290073 ,4.22322188331337   ,"1764953568.6453016,0.21537744998931885,1.2021701335906982,0.7124727368354797,6.0564070169938,2.0964590752290073,4.22322188331337"
2025-12-05 17:52:49.001640 ,0.21520406007766724 ,1.2021716833114624 ,0.7125769257545471 ,6.068278130838098  ,2.0804145904036777 ,4.244170737593988  ,"1764953568.6493945,0.21520406007766724,1.2021716833114624,0.7125769257545471,6.068278130838098,2.0804145904036777,4.244170737593988"
2025-12-05 17:52:49.106807 ,0.2153429239988327  ,1.2021772861480713 ,0.7124492526054382 ,6.069702278555546  ,2.0928000852991397 ,4.2299113283867324 ,"1764953568.653385,0.2153429239988327,1.2021772861480713,0.7124492526054382,6.069702278555546,2.0928000852991397,4.2299113283867324"
2025-12-05 17:52:49.210829 ,0.215378537774086   ,1.202164888381958  ,0.7124716639518738 ,6.068347674532597  ,2.091830217947043  ,4.2245705397510545 ,"1764953568.6579692,0.215378537774086,1.202164888381958,0.7124716639518738,6.068347674532597,2.091830217947043,4.2245705397510545"
2025-12-05 17:52:49.316020 ,0.21519415080547333 ,1.2021572589874268 ,0.7125807404518127 ,6.06275493649509   ,2.085352207039388  ,4.240995379132739  ,"1764953568.661948,0.21519415080547333,1.2021572589874268,0.7125807404518127,6.06275493649509,2.085352207039388,4.240995379132739"
2025-12-05 17:52:49.421018 ,0.21519330143928528 ,1.2021740674972534 ,0.7125740647315979 ,6.071318300726001  ,2.0790282914933496 ,4.24314367196949   ,"1764953568.6659412,0.21519330143928528,1.2021740674972534,0.7125740647315979,6.071318300726001,2.0790282914933496,4.24314367196949"
2025-12-05 17:52:49.526158 ,0.21519330143928528 ,1.2021740674972534 ,0.7125740647315979 ,6.071318300726001  ,2.0790282914933496 ,4.24314367196949   ,"1764953568.6659412,0.21519330143928528,1.2021740674972534,0.7125740647315979,6.071318300726001,2.0790282914933496,4.24314367196949"
2025-12-05 17:52:49.627215 ,0.21538898348808289 ,1.20215904712677   ,0.7124967575073242 ,6.070723489386918  ,2.0938427387824214 ,4.219833628868114  ,"1764953568.670274,0.21538898348808289,1.20215904712677,0.7124967575073242,6.070723489386918,2.0938427387824214,4.219833628868114"
2025-12-05 17:52:49.732382 ,0.215199813246727   ,1.2021477222442627 ,0.7125915884971619 ,6.066847602930232  ,2.08790752922658   ,4.238990774009677  ,"1764953568.6742918,0.215199813246727,1.2021477222442627,0.7125915884971619,6.066847602930232,2.08790752922658,4.238990774009677"
2025-12-05 17:52:49.837076 ,0.2152026742696762  ,1.2021410465240479 ,0.7125771641731262 ,6.053908207930171  ,2.0905490774411954 ,4.233333240712424  ,"1764953568.678415,0.2152026742696762,1.2021410465240479,0.7125771641731262,6.053908207930171,2.0905490774411954,4.233333240712424"
2025-12-05 17:52:49.942260 ,0.21536394953727722 ,1.2021690607070923 ,0.7124656438827515 ,6.058088304192224  ,2.094757378357625  ,4.223188747928843  ,"1764953568.6825366,0.21536394953727722,1.2021690607070923,0.7124656438827515,6.058088304192224,2.094757378357625,4.223188747928843"
2025-12-05 17:52:50.045206 ,0.21520255506038666 ,1.2021340131759644 ,0.7125934362411499 ,6.061389703776397  ,2.0910376398916553 ,4.235790365360911  ,"1764953568.6866853,0.21520255506038666,1.2021340131759644,0.7125934362411499,6.061389703776397,2.0910376398916553,4.235790365360911"
2025-12-05 17:52:50.146350 ,0.2152356207370758  ,1.2021268606185913 ,0.7126005291938782 ,6.061445339301791  ,2.09029810898706   ,4.23002811802513   ,"1764953568.6906347,0.2152356207370758,1.2021268606185913,0.7126005291938782,6.061445339301791,2.09029810898706,4.23002811802513"
2025-12-05 17:52:50.249186 ,0.21537232398986816 ,1.2021746635437012 ,0.7124727964401245 ,6.064930269817858  ,2.092803041766846  ,4.224186350264473  ,"1764953568.6956685,0.21537232398986816,1.2021746635437012,0.7124727964401245,6.064930269817858,2.092803041766846,4.224186350264473"
2025-12-05 17:52:50.353041 ,0.21539993584156036 ,1.2021522521972656 ,0.7124987244606018 ,6.072483637878985  ,2.093630084747908  ,4.2199662607236785 ,"1764953568.6993835,0.21539993584156036,1.2021522521972656,0.7124987244606018,6.072483637878985,2.093630084747908,4.2199662607236785"
