timestamp                  ,x                   ,y                   ,z                   ,q_x                     ,q_y                     ,q_z                   ,q_w                   ,heading              ,raw_message
2025-12-12 14:44:55.979716 ,0.28482139110565186 ,0.8410311341285706  ,0.2020949423313141  ,0.0005312353605404496   ,-0.023873303085565567   ,0.7428171634674072    ,-0.6690683364868164   ,-1.6757342146943917  ,"1765547095.9636798,0.28482139110565186,0.8410311341285706,0.2020949423313141,0.0005312353605404496,-0.023873303085565567,0.7428171634674072,-0.6690683364868164"
2025-12-12 14:44:56.109802 ,0.28482139110565186 ,0.8410311341285706  ,0.2020949423313141  ,0.0005312353605404496   ,-0.023873303085565567   ,0.7428171634674072    ,-0.6690683364868164   ,-1.6757342146943917  ,"1765547095.9636798,0.28482139110565186,0.8410311341285706,0.2020949423313141,0.0005312353605404496,-0.023873303085565567,0.7428171634674072,-0.6690683364868164"
2025-12-12 14:44:56.214595 ,0.2848290205001831  ,0.8410547971725464  ,0.20229695737361908 ,0.0007755237747915089   ,-0.02385713718831539    ,0.7428115010261536    ,-0.6690750122070312   ,-1.6757144743333532  ,"1765547095.9887471,0.2848290205001831,0.8410547971725464,0.20229695737361908,0.0007755237747915089,-0.02385713718831539,0.7428115010261536,-0.6690750122070312"
2025-12-12 14:44:56.319661 ,0.2847706079483032  ,0.8409972190856934  ,0.20185643434524536 ,0.0001828606764320284   ,-0.024186985567212105   ,0.7428683042526245    ,-0.6690004467964172   ,-1.6759205459614406  ,"1765547095.9971359,0.2847706079483032,0.8409972190856934,0.20185643434524536,0.0001828606764320284,-0.024186985567212105,0.7428683042526245,-0.6690004467964172"
2025-12-12 14:44:56.424805 ,0.2847883403301239  ,0.841001033782959   ,0.20193661749362946 ,0.0002617251593619585   ,-0.024233367294073105   ,0.7428732514381409    ,-0.6689932942390442   ,-1.675939659597073   ,"1765547096.0058126,0.2847883403301239,0.841001033782959,0.20193661749362946,0.0002617251593619585,-0.024233367294073105,0.7428732514381409,-0.6689932942390442"
2025-12-12 14:44:56.527620 ,0.2847801446914673  ,0.8409994840621948  ,0.2020464688539505  ,0.0004768013604916632   ,-0.024184882640838623   ,0.7428779602050781    ,-0.6689896583557129   ,-1.6759477259074107  ,"1765547096.0137477,0.2847801446914673,0.8409994840621948,0.2020464688539505,0.0004768013604916632,-0.024184882640838623,0.7428779602050781,-0.6689896583557129"
2025-12-12 14:44:56.632704 ,0.2847735583782196  ,0.8410226702690125  ,0.20210051536560059 ,0.0004915515310131013   ,-0.0241509061306715     ,0.7428831458091736    ,-0.6689851880073547   ,-1.6759596870001248  ,"1765547096.0221133,0.2847735583782196,0.8410226702690125,0.20210051536560059,0.0004915515310131013,-0.0241509061306715,0.7428831458091736,-0.6689851880073547"
2025-12-12 14:44:56.737886 ,0.28478097915649414 ,0.8410216569900513  ,0.2021438181400299  ,0.0006630957359448075   ,-0.024085810407996178   ,0.7428878545761108    ,-0.6689820885658264   ,-1.6759663212812992  ,"1765547096.0303588,0.28478097915649414,0.8410216569900513,0.2021438181400299,0.0006630957359448075,-0.024085810407996178,0.7428878545761108,-0.6689820885658264"
2025-12-12 14:44:56.838677 ,0.2848244905471802  ,0.8410394191741943  ,0.2022826075553894  ,0.0007582533871755004   ,-0.023890599608421326   ,0.7428012490272522    ,-0.6690852046012878   ,-1.6756872777791476  ,"1765547095.992866,0.2848244905471802,0.8410394191741943,0.2022826075553894,0.0007582533871755004,-0.023890599608421326,0.7428012490272522,-0.6690852046012878"
2025-12-12 14:44:56.943757 ,0.2847849428653717  ,0.8409931063652039  ,0.2019071727991104  ,0.00020379372290335596  ,-0.0242400411516428     ,0.7428579926490784    ,-0.6690099835395813   ,-1.6758950242189907  ,"1765547096.0019977,0.2847849428653717,0.8409931063652039,0.2019071727991104,0.00020379372290335596,-0.0242400411516428,0.7428579926490784,-0.6690099835395813"
2025-12-12 14:44:57.048800 ,0.2847863435745239  ,0.8410168886184692  ,0.20209650695323944 ,0.0004831256519537419   ,-0.0241859033703804     ,0.7428880929946899    ,-0.6689784526824951   ,-1.675978075189193   ,"1765547096.0179963,0.2847863435745239,0.8410168886184692,0.20209650695323944,0.0004831256519537419,-0.0241859033703804,0.7428880929946899,-0.6689784526824951"
2025-12-12 14:44:57.153909 ,0.2848455011844635  ,0.8410232663154602  ,0.20227694511413574 ,0.0007352116517722607   ,-0.023916862905025482   ,0.7428063750267029    ,-0.6690785884857178   ,-1.675705352650792   ,"1765547096.009778,0.2848455011844635,0.8410232663154602,0.20227694511413574,0.0007352116517722607,-0.023916862905025482,0.7428063750267029,-0.6690785884857178"
2025-12-12 14:44:57.257024 ,0.28484565019607544 ,0.8410507440567017  ,0.20246829092502594 ,0.0010237492388114333   ,-0.023850226774811745   ,0.7428209185600281    ,-0.6690644025802612   ,-1.6757407509197804  ,"1765547096.0395353,0.28484565019607544,0.8410507440567017,0.20246829092502594,0.0010237492388114333,-0.023850226774811745,0.7428209185600281,-0.6690644025802612"
2025-12-12 14:44:57.362330 ,0.2847740650177002  ,0.8410122990608215  ,0.20208629965782166 ,0.0005229748785495758   ,-0.024136513471603394   ,0.7428626418113708    ,-0.6690084338188171   ,-1.6758967792423907  ,"1765547096.0262368,0.2847740650177002,0.8410122990608215,0.20208629965782166,0.0005229748785495758,-0.024136513471603394,0.7428626418113708,-0.6690084338188171"
