Timestamp,forward_vel_cmd,steering_vel_cmd,power_mW,current_mA,busVoltage_V,shuntVoltage_mV,energy,charge,dieTemp,Left_Stick_X,Left_Stick_Y,Right_Stick_X,Right_Stick_Y,Button_0,Button_1,Button_2,Button_3,Button_4,Button_5,Button_6,Button_7,Button_8,Button_9,Button_10,Button_11,Button_12,Button_13,Button_14,Button_15,mocap_velocity,mocap_x,mocap_y,forward_vel_cmd,steering_vel_cmd,left_wheel_vel,right_wheel_vel,ppo_control_active,heading_error_rad,distance_to_target,relative_x,relative_y,target_relative_x,target_relative_y,current_waypoint_idx
2025-12-05 16:32:57.364330,0.2,0.2,12002.6,979.6,12.3,14.7,610.0,49.8,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555801033973694,2.3809361457824707,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.1902360396568095,4.100875670076591,3.7550926208496094e-06,-3.528594970703125e-05,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.395772,0.2,0.2,15445.4,1261.5,12.2,18.9,610.8,49.8,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555801033973694,2.3809361457824707,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.1902360396568095,4.100875670076591,3.7550926208496094e-06,-3.528594970703125e-05,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.427133,0.2,0.2,9213.1,751.4,12.3,11.3,611.4,49.9,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555801033973694,2.3809361457824707,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.1902360396568095,4.100875670076591,3.7550926208496094e-06,-3.528594970703125e-05,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.458293,0.2,0.2,18661.4,1525.4,12.2,22.9,612.3,49.9,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555801033973694,2.3809361457824707,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.1902360396568095,4.100875670076591,3.7550926208496094e-06,-3.528594970703125e-05,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.489479,0.2,0.2,7710.6,707.2,12.3,10.6,612.8,50.0,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555803418159485,2.380927562713623,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.1928488497243315,4.10088133520204,3.516674041748047e-06,-4.38690185546875e-05,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.738087,0.2,0.2,12581.1,1026.9,12.3,15.4,613.5,50.0,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555960178375244,2.3809654712677,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.189263802837201,4.1008691871948395,-1.2159347534179688e-05,-5.9604644775390625e-06,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.769338,0.2,0.2,14772.8,1206.3,12.2,18.1,614.3,50.1,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555960178375244,2.3809654712677,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.189263802837201,4.1008691871948395,-1.2159347534179688e-05,-5.9604644775390625e-06,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.800587,0.2,0.2,9561.8,780.0,12.3,11.7,614.9,50.2,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555750370025635,2.3809444904327393,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.1939709996577403,4.100866442149555,8.821487426757812e-06,-2.6941299438476562e-05,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.831831,0.2,0.2,15149.8,1237.3,12.2,18.6,615.6,50.2,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555750370025635,2.3809444904327393,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.1939709996577403,4.100866442149555,8.821487426757812e-06,-2.6941299438476562e-05,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.863043,0.2,0.2,11231.5,916.6,12.3,13.7,616.4,50.3,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555750370025635,2.3809444904327393,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.1939709996577403,4.100866442149555,8.821487426757812e-06,-2.6941299438476562e-05,3.1555838584899902,2.6190285682678223,0
2025-12-05 16:32:57.894531,0.2,0.2,16390.5,1133.9,12.2,20.1,617.2,50.3,22.9,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6555866599082947,2.3809595108032227,0.2,0.2,1.0,-0.02499999999999991,1.0,-1.1893272445569192,4.10086579300558,-2.8014183044433594e-06,-1.1920928955078125e-05,3.1555838584899902,2.6190285682678223,0
